"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-09-29","93.2","-0.4","6.26","Springer, George",543807,641793,,"swinging_strike",,,,,12,"George Springer pops out to first baseman Isaac Paredes in foul territory.","R","R","R","TOR","TB","S",,,0,1,2023,"-0.42","1.68","0.85","2.98",672386,656305,,2,3,"Bot",,,,,650907,,,4.127285698121665,-135.48283673590936,-6.299053579813895,-6.0871512741536575,32.133731530195234,-10.345531061627987,"3.64","1.67",,,,"92.9",2128,"6.4",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.15",,,,,,,,30,2,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",203,"0","-0.148"
"FC","2023-09-29","89.2","-2.66","5.42","Springer, George",543807,541640,,"called_strike",,,,,8,"George Springer strikes out swinging.","R","R","R","TOR","TB","S",,,0,0,2023,"0.21","0.77","0.1","1.6",,,,1,5,"Bot",,,,,650907,,,6.3801969784281205,-129.75611990492055,-5.028251940564638,1.0429906790019585,27.07660469792443,-22.576162965989386,"3.68","1.67",,,,"90",2337,"6.8",716392,541640,650907,670623,678554,678545,691406,668227,622534,623912,"53.74",,,,,,,,45,1,"Cutter",8,0,8,0,0,8,8,0,"Standard","Standard",199,"0","-0.026"
"FF","2023-09-29","93.4","-0.38","6.22","Springer, George",543807,641793,,"swinging_strike",,,,,2,"George Springer pops out to first baseman Isaac Paredes in foul territory.","R","R","R","TOR","TB","S",,,0,0,2023,"-0.44","1.76","-0.03","3.56",672386,656305,,2,3,"Bot",,,,,650907,,,1.863382480053535,-135.93439938804337,-4.9266112009708705,-5.908154690926176,32.73817137015294,-9.611791888196024,"3.64","1.67",,,,"93",2111,"6.3",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.21",,,,,,,,30,1,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",206,"0","-0.073"
"SI","2023-09-29","94.7","-0.24","6.23","Springer, George",543807,650644,"strikeout","called_strike",,,,,14,"George Springer called out on strikes.","R","R","R","TOR","TB","S",2,,3,2,2023,"-1.23","1.18","0.89","2.19",,,,0,1,"Bot",,,,,650907,,,5.643208702400589,-137.67434149668884,-7.432841562951383,-16.918662298396463,31.060557365216436,-15.701478110942206,"3.5","1.61",,,,"93.7",2452,"5.8",716392,650644,650907,670623,678554,678545,691406,668227,622534,623912,"54.69",,0,"0",1,0,0,,4,7,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",214,"-0.021","-0.317"
"FS","2023-09-29","86.8","-0.66","6.19","Springer, George",543807,641793,"walk","ball",,,,,14,"George Springer walks.   Kevin Kiermaier to 3rd.    Matt Chapman to 2nd.","R","R","R","TOR","TB","B",,,3,2,2023,"-0.59","0.17","0.75","1.19",,595281,656305,2,2,"Bot",,,,,650907,,,4.563398192197262,-126.25637977056165,-6.125220379208291,-7.181579229702285,25.36312548329471,-29.28397638498368,"3.61","1.57",,,,"86.7",1127,"6.2",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.29",,0.695903,"0.7",1,0,0,,16,6,"Split-Finger",1,0,1,0,0,1,1,0,"Standard","Standard",229,"0.025","0.299"
"SL","2023-09-29","83.5","-0.28","6.37","Springer, George",543807,650644,,"ball",,,,,14,"George Springer called out on strikes.","R","R","R","TOR","TB","B",,,2,2,2023,"1.1","0.28","0.67","1.36",,,,0,1,"Bot",,,,,650907,,,0.016223917667847476,-121.47121921570277,-5.585896766616672,10.890103981481998,24.730677514716643,-28.51550604205157,"3.54","1.65",,,,"82.9",2966,"6",716392,650644,650907,670623,678554,678545,691406,668227,622534,623912,"54.48",,,,,,,,4,6,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",60,"0","0.103"
"FF","2023-09-29","93.1","-0.11","6.42","Springer, George",543807,650644,,"foul",,,,,5,"George Springer called out on strikes.","R","R","R","TOR","TB","S",,,2,2,2023,"-0.56","1.51","-0.11","2.97",,,,0,1,"Bot",,,,,650907,,,1.2223036348148975,-135.45771191889713,-6.262761258318384,-7.181609664543616,33.29979271546545,-12.412355530307304,"3.64","1.67",287,"96.3",21,"91.6",2525,"5.7",716392,650644,650907,670623,678554,678545,691406,668227,622534,623912,"54.82",,,,,,,,4,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",205,"0","0"
"ST","2023-09-29","82.5","-0.98","6.06","Springer, George",543807,641793,,"ball",,,,,14,"George Springer walks.   Kevin Kiermaier to 3rd.    Matt Chapman to 2nd.","R","R","R","TOR","TB","B",,,2,2,2023,"1.48","-0.23","2.33","1.56",,595281,656305,2,2,"Bot",,,,,650907,,,4.658249376476529,-120.02746985369274,-3.233074965760289,13.260845278582147,24.774456174297164,-33.91769385941955,"3.52","1.52",,,,"82.2",2361,"6.2",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.28",,,,,,,,16,5,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",41,"0","0.103"
"SL","2023-09-29","89.6","-0.79","6.06","Springer, George",543807,641793,,"foul",,,,,5,"George Springer walks.   Kevin Kiermaier to 3rd.    Matt Chapman to 2nd.","R","R","R","TOR","TB","S",,,2,1,2023,"0.15","0.79","0.05","2.51",,595281,656305,2,2,"Bot",,,,,650907,,,1.7768340507299132,-130.4523820645565,-4.455870218502438,1.2881475221936998,27.57927114693853,-22.38420368006077,"3.64","1.67",,,,"89.5",2293,"6.2",716392,641793,650907,670623,678554,678545,691406,668227,622534,623912,"54.27",,,,,,,,16,4,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",203,"0","-0.096"
"CU","2023-09-29","79.2","0.05","6.54","Springer, George",543807,650644,,"foul",,,,,14,"George Springer called out on strikes.","R","R","R","TOR","TB","S",,,2,1,2023,"1.01","-1.33","0.86","2.24",,,,0,1,"Bot",,,,,650907,,,-0.12320856558106913,-115.26726141054618,-0.05331280164324115,8.917550413212162,24.34966605802299,-44.12224646826563,"3.64","1.67",2,"60.1",-50,"78.2",3113,"5.9",716392,650644,650907,670623,678554,678545,691406,668227,622534,623912,"54.59",,,,,,,,4,4,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",40,"0","-0.067"
