"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-09-26","87.4","-2.13","6.36","Romano, Jordan",643396,605447,,"foul",,,,,9,"Isiah Kiner-Falefa strikes out swinging.","R","R","R","TOR","NYY","S",,,1,2,2023,"0.24","-0.38","0.42","1.37",,,,1,9,"Top",,,,,672386,,,5.724283130252426,-126.95252792658738,-5.0099718561135465,1.2148399261229483,30.664751386412654,-35.3051566132058,"3.24","1.46",2,"70.3",-35,"88",2085,"7.2",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.32",,,,,,,,62,4,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",55,"0","0"
"SL","2023-09-26","88","-2.49","6.06","Romano, Jordan",643396,605447,,"swinging_strike",,,,,6,"Isiah Kiner-Falefa strikes out swinging.","R","R","R","TOR","NYY","S",,,1,1,2023,"0.45","-0.27","0.62","2.08",,,,1,9,"Top",,,,,672386,,,6.732570425205205,-127.9573883170397,-2.9813582555048503,3.434419142579551,27.97083549687065,-34.67532366954718,"3.24","1.46",,,,"89.3",2216,"7.3",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.21",,,,,,,,62,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",86,"0","-0.043"
"SL","2023-09-26","88.4","-2.73","5.94","Romano, Jordan",643396,605447,,"swinging_strike",,,,,14,"Isiah Kiner-Falefa strikes out swinging.","R","R","R","TOR","NYY","S",,,1,0,2023,"0.33","-0.34","1.11","1.66",,,,1,9,"Top",,,,,672386,,,8.831850500385107,-128.62147779791005,-3.7572233220119733,2.0107254762709585,24.358522607432555,-35.45274871212141,"3.24","1.46",,,,"90.3",2247,"7.3",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.24",,,,,,,,62,2,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",77,"0","-0.031"
"SL","2023-09-26","87.6","-2.51","6.06","Romano, Jordan",643396,605447,,"ball",,,,,14,"Isiah Kiner-Falefa strikes out swinging.","R","R","R","TOR","NYY","B",,,0,0,2023,"0.23","-0.3","0.86","0.91",,,,1,9,"Top",,,,,672386,,,7.7992059370508855,-127.30058542046073,-5.712944511007255,0.7428526409010179,27.788426834193903,-34.316691038941165,"3.19","1.4",,,,"88.8",2144,"7.2",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.26",,,,,,,,62,1,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",53,"0","0.025"
"FF","2023-09-26","97.7","-2.16","6.3","Romano, Jordan",519317,605447,"field_out","hit_into_play",,,,,13,"Giancarlo Stanton grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr.","R","R","R","TOR","NYY","X",6,"ground_ball",0,0,2023,"-0.27","1.46","-1.1","2.4",,,,0,9,"Top",120.6,147.73,,,672386,,,3.527317554758018,-142.11752035588927,-8.54769734338987,-4.391847570067806,31.550077112172655,-10.666256606046412,"3.69","1.79",4,"84.6",-30,"99.8",2288,"7.4",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.12",0.046,0.045,"0",1,0,0,2,61,1,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Strategic","Standard",193,"0.007","-0.238"
"FF","2023-09-26","95.9","-2.76","5.98","Romano, Jordan",669224,605447,"home_run","hit_into_play",,,,,8,"Austin Wells homers (3) on a fly ball to left center field.   Gleyber Torres scores.","R","L","R","TOR","NYY","X",,"fly_ball",0,0,2023,"-0.38","1.67","-0.17","2.14",,,650402,0,9,"Top",50.3,71.17,,,672386,,,7.841554321123421,-139.29388805527853,-8.447765130726843,-6.763156820917522,31.39724882715624,-8.615918104573172,"3.5","1.61",367,"102.3",26,"97.3",2321,"7.2",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.32",0.729,1.309,"2",1,0,3,6,60,1,"4-Seam Fastball",0,0,0,0,2,0,2,0,"Standard","Standard",208,"-0.347","1.59"
"FF","2023-09-26","94.7","-2.79","5.96","Romano, Jordan",650402,605447,"single","hit_into_play",,,,,5,"Gleyber Torres singles on a sharp ground ball to left fielder Daulton Varsho.","R","R","R","TOR","NYY","X",7,"ground_ball",1,0,2023,"-0.41","1.28","-0.2","2.49",,,,0,9,"Top",82.62,121.1,,,672386,,,7.82690899039122,-137.5445489137014,-6.3034461119076735,-6.9909907627202035,32.208334921656245,-14.633025872337646,"3.14","1.47",87,"105.8",4,"96.1",2163,"7.3",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.16",0.631,0.615,"0.9",1,1,0,4,59,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",197,"-0.082","0.351"
"FF","2023-09-26","95.8","-2.28","6.14","Romano, Jordan",650402,605447,,"ball",,,,,14,"Gleyber Torres singles on a sharp ground ball to left fielder Daulton Varsho.","R","R","R","TOR","NYY","B",,,0,0,2023,"-0.18","1.55","1.62","2.22",,,,0,9,"Top",,,,,672386,,,10.899529403759233,-138.80257299672476,-8.327638451146873,-5.018769502454561,34.05840173520079,-10.311577636783861,"3.24","1.47",,,,"97",2320,"7.4",716431,605447,672386,665489,624415,656305,666182,662139,595281,543807,"53.07",,,,,,,,59,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",196,"0","0.036"
"FF","2023-09-23","95.7","-2.69","5.86","Romano, Jordan",666139,605447,"single","hit_into_play",,,,,6,"Josh Lowe singles on a line drive to left fielder Whit Merrifield.   Harold Ramirez scores.    Junior Caminero to 2nd.","R","L","R","TB","TOR","X",7,"line_drive",1,0,2023,"-0.36","1.62","0.49","2.6",623912,,691406,2,9,"Bot",48.69,136.24,,,672386,,,9.377924109543008,-138.919201054193,-6.722994334533729,-6.843900290387781,31.590056440349034,-9.852386690215997,"3.74","1.82",176,"74.1",17,"97.3",2387,"7.4",716463,605447,672386,665489,676914,656305,666182,593160,595281,624415,"53.13",0.834,0.751,"0.9",1,1,0,4,88,2,"4-Seam Fastball",6,6,6,6,6,7,7,6,"Standard","Standard",208,"0.365","0.928"
"FF","2023-09-23","97.9","-2.29","6.14","Romano, Jordan",666139,605447,,"ball",,,,,9,"Josh Lowe singles on a line drive to left fielder Whit Merrifield.   Harold Ramirez scores.    Junior Caminero to 2nd.","R","L","R","TB","TOR","B",,,0,0,2023,"-0.24","1.65","0.76","1.79",623912,,691406,2,9,"Bot",,,,,672386,,,8.945909472093101,-141.9489849874515,-10.215510582985052,-5.330952996524465,32.93496852806859,-7.590065958275787,"3.77","1.75",,,,"99.5",2452,"7.4",716463,605447,672386,665489,676914,656305,666182,593160,595281,624415,"53.11",,,,,,,,88,1,"4-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard",200,"0","0.07"
